id,latitude,longitude
33813090,42.7755661,-96.93569183
59729531,42.77332167,-96.93167167
95633673,36.9994746,-96.92240289
52209524,42.771855,-96.91065333
50006936,38.86840833,-96.89977167
53637569,40.85857964,-96.89866237
89391821,40.96069667,-96.88865
91150815,40.85977836,-96.87187386
54991102,41.04271483,-96.84744607
101358872,40.28688611,-96.84108889
53107278,41.0376318,-96.8378508
4865674,40.28861237,-96.83555603
1883093,37.846625,-96.82598833
55945321,40.86753,-96.82007
59794793,39.07746117,-96.80931167
29651077,40.62732657,-96.79955634
98149078,40.76921333,-96.79113
109316596,43.531955,-96.78876333
109370458,43.53203833,-96.78852833
53779840,40.26787194,-96.78236028
15077254,40.77338136,-96.77546139
57926140,42.60072778,-96.72281667
54408821,42.59948,-96.720955
89731051,40.76600044,-96.72070132
55356313,40.76250833,-96.719995
53858609,40.77685186,-96.71992895
90577447,42.60118667,-96.71886333
54343444,42.60087044,-96.7176048
31619690,42.6030396,-96.71628897
55360478,40.7661756,-96.71621627
70152988,40.75700497,-96.715625
30115557,40.75769156,-96.71418438
53435079,40.7538295,-96.71306726
63063451,40.74385314,-96.71200317
55709318,40.72170421,-96.70506338
53478198,40.72017459,-96.70291484
87931977,43.53727167,-96.70290333
97641915,43.51377621,-96.70215806
88008394,43.52325026,-96.70149133
30514720,40.71445536,-96.69824435
87491559,40.71428333,-96.697455
99825934,40.70234167,-96.68868333
87577043,40.76642565,-96.6767022
29552530,43.57655,-96.66275833
86234383,39.190125,-96.64602833
57399018,39.18210307,-96.63511807
32475357,43.52886472,-96.60994705
32475209,43.52886032,-96.60989433
88902322,39.186025,-96.60933667
56268949,39.10674319,-96.6032898
56002412,39.10656667,-96.60323889
56519105,39.1065445,-96.60323333
88975285,39.17237833,-96.60315833
86191487,39.96533667,-96.60205833
70664959,39.10564289,-96.60126141
7638537,43.57551667,-96.60079167
87472008,43.5813778,-96.59820281
89325893,43.47761555,-96.59467382
93592593,40.85130891,-96.59157969
56767027,43.47658764,-96.59028413
14884368,43.47821591,-96.59003025
56192630,43.47622833,-96.59000333
15829718,43.4752,-96.58915
87340589,43.48081667,-96.58888333
53076402,43.47968047,-96.58863028
29579397,43.47968462,-96.58859817
